time_gmt,observed_m,predicted_m,residual_m,minor_flood_threshold_m,water_level_above_threshold_m
2024-01-09 00:00,-1.519,-1.578,0.05900000000000016,3.47,0.0
2024-01-09 00:06,-1.493,,,3.47,0.0
2024-01-09 00:12,-1.466,,,3.47,0.0
2024-01-09 00:18,-1.432,,,3.47,0.0
2024-01-09 00:24,-1.405,,,3.47,0.0
2024-01-09 00:30,-1.368,,,3.47,0.0
2024-01-09 00:36,-1.325,,,3.47,0.0
2024-01-09 00:42,-1.296,,,3.47,0.0
2024-01-09 00:48,-1.263,,,3.47,0.0
2024-01-09 00:54,-1.231,,,3.47,0.0
2024-01-09 01:00,-1.204,-1.262,0.05800000000000005,3.47,0.0
2024-01-09 01:06,-1.171,,,3.47,0.0
2024-01-09 01:12,-1.131,,,3.47,0.0
2024-01-09 01:18,-1.11,,,3.47,0.0
2024-01-09 01:24,-1.086,,,3.47,0.0
2024-01-09 01:30,-1.052,,,3.47,0.0
2024-01-09 01:36,-1.014,,,3.47,0.0
2024-01-09 01:42,-0.975,,,3.47,0.0
2024-01-09 01:48,-0.939,,,3.47,0.0
2024-01-09 01:54,-0.91,,,3.47,0.0
2024-01-09 02:00,-0.897,-0.959,0.061999999999999944,3.47,0.0
2024-01-09 02:06,-0.882,,,3.47,0.0
2024-01-09 02:12,-0.862,,,3.47,0.0
2024-01-09 02:18,-0.841,,,3.47,0.0
2024-01-09 02:24,-0.818,,,3.47,0.0
2024-01-09 02:30,-0.775,,,3.47,0.0
2024-01-09 02:36,-0.737,,,3.47,0.0
2024-01-09 02:42,-0.717,,,3.47,0.0
2024-01-09 02:48,-0.712,,,3.47,0.0
2024-01-09 02:54,-0.716,,,3.47,0.0
2024-01-09 03:00,-0.72,-0.743,0.02300000000000002,3.47,0.0
2024-01-09 03:06,-0.7,,,3.47,0.0
2024-01-09 03:12,-0.678,,,3.47,0.0
2024-01-09 03:18,-0.667,,,3.47,0.0
2024-01-09 03:24,-0.649,,,3.47,0.0
2024-01-09 03:30,-0.639,,,3.47,0.0
2024-01-09 03:36,-0.621,,,3.47,0.0
2024-01-09 03:42,-0.624,,,3.47,0.0
2024-01-09 03:48,-0.629,,,3.47,0.0
2024-01-09 03:54,-0.642,,,3.47,0.0
2024-01-09 04:00,-0.639,-0.654,0.015000000000000013,3.47,0.0
2024-01-09 04:06,-0.628,,,3.47,0.0
2024-01-09 04:12,-0.627,,,3.47,0.0
2024-01-09 04:18,-0.63,,,3.47,0.0
2024-01-09 04:24,-0.64,,,3.47,0.0
2024-01-09 04:30,-0.644,,,3.47,0.0
2024-01-09 04:36,-0.637,,,3.47,0.0
2024-01-09 04:42,-0.638,,,3.47,0.0
2024-01-09 04:48,-0.657,,,3.47,0.0
2024-01-09 04:54,-0.673,,,3.47,0.0
2024-01-09 05:00,-0.672,-0.685,0.013000000000000012,3.47,0.0
2024-01-09 05:06,-0.683,,,3.47,0.0
2024-01-09 05:12,-0.688,,,3.47,0.0
2024-01-09 05:18,-0.689,,,3.47,0.0
2024-01-09 05:24,-0.72,,,3.47,0.0
2024-01-09 05:30,-0.719,,,3.47,0.0
2024-01-09 05:36,-0.716,,,3.47,0.0
2024-01-09 05:42,-0.747,,,3.47,0.0
2024-01-09 05:48,-0.78,,,3.47,0.0
2024-01-09 05:54,-0.81,,,3.47,0.0
2024-01-09 06:00,-0.812,-0.789,-0.02300000000000002,3.47,0.0
2024-01-09 06:06,-0.804,,,3.47,0.0
2024-01-09 06:12,-0.804,,,3.47,0.0
2024-01-09 06:18,-0.816,,,3.47,0.0
2024-01-09 06:24,-0.857,,,3.47,0.0
2024-01-09 06:30,-0.872,,,3.47,0.0
2024-01-09 06:36,-0.876,,,3.47,0.0
2024-01-09 06:42,-0.908,,,3.47,0.0
2024-01-09 06:48,-0.933,,,3.47,0.0
2024-01-09 06:54,-0.951,,,3.47,0.0
2024-01-09 07:00,-0.96,-0.911,-0.04899999999999993,3.47,0.0
2024-01-09 07:06,-0.951,,,3.47,0.0
2024-01-09 07:12,-0.947,,,3.47,0.0
2024-01-09 07:18,-0.962,,,3.47,0.0
2024-01-09 07:24,-0.998,,,3.47,0.0
2024-01-09 07:30,-1.009,,,3.47,0.0
2024-01-09 07:36,-1.0,,,3.47,0.0
2024-01-09 07:42,-0.998,,,3.47,0.0
2024-01-09 07:48,-1.009,,,3.47,0.0
2024-01-09 07:54,-1.033,,,3.47,0.0
2024-01-09 08:00,-1.035,-0.994,-0.040999999999999925,3.47,0.0
2024-01-09 08:06,-1.028,,,3.47,0.0
2024-01-09 08:12,-1.015,,,3.47,0.0
2024-01-09 08:18,-1.006,,,3.47,0.0
2024-01-09 08:24,-1.018,,,3.47,0.0
2024-01-09 08:30,-1.012,,,3.47,0.0
2024-01-09 08:36,-0.997,,,3.47,0.0
2024-01-09 08:42,-0.991,,,3.47,0.0
2024-01-09 08:48,-0.988,,,3.47,0.0
2024-01-09 08:54,-0.994,,,3.47,0.0
2024-01-09 09:00,-0.988,-0.988,0.0,3.47,0.0
2024-01-09 09:06,-0.957,,,3.47,0.0
2024-01-09 09:12,-0.929,,,3.47,0.0
2024-01-09 09:18,-0.915,,,3.47,0.0
2024-01-09 09:24,-0.912,,,3.47,0.0
2024-01-09 09:30,-0.91,,,3.47,0.0
2024-01-09 09:36,-0.903,,,3.47,0.0
2024-01-09 09:42,-0.878,,,3.47,0.0
2024-01-09 09:48,-0.859,,,3.47,0.0
2024-01-09 09:54,-0.844,,,3.47,0.0
2024-01-09 10:00,-0.814,-0.862,0.04800000000000004,3.47,0.0
2024-01-09 10:06,-0.777,,,3.47,0.0
2024-01-09 10:12,-0.756,,,3.47,0.0
2024-01-09 10:18,-0.747,,,3.47,0.0
2024-01-09 10:24,-0.75,,,3.47,0.0
2024-01-09 10:30,-0.735,,,3.47,0.0
2024-01-09 10:36,-0.718,,,3.47,0.0
2024-01-09 10:42,-0.691,,,3.47,0.0
2024-01-09 10:48,-0.648,,,3.47,0.0
2024-01-09 10:54,-0.623,,,3.47,0.0
2024-01-09 11:00,-0.584,-0.625,0.041000000000000036,3.47,0.0
2024-01-09 11:06,-0.554,,,3.47,0.0
2024-01-09 11:12,-0.538,,,3.47,0.0
2024-01-09 11:18,-0.515,,,3.47,0.0
2024-01-09 11:24,-0.499,,,3.47,0.0
2024-01-09 11:30,-0.474,,,3.47,0.0
2024-01-09 11:36,-0.445,,,3.47,0.0
2024-01-09 11:42,-0.406,,,3.47,0.0
2024-01-09 11:48,-0.361,,,3.47,0.0
2024-01-09 11:54,-0.323,,,3.47,0.0
2024-01-09 12:00,-0.278,-0.326,0.04799999999999999,3.47,0.0
2024-01-09 12:06,-0.267,,,3.47,0.0
2024-01-09 12:12,-0.242,,,3.47,0.0
2024-01-09 12:18,-0.213,,,3.47,0.0
2024-01-09 12:24,-0.187,,,3.47,0.0
2024-01-09 12:30,-0.15,,,3.47,0.0
2024-01-09 12:36,-0.12,,,3.47,0.0
2024-01-09 12:42,-0.094,,,3.47,0.0
2024-01-09 12:48,-0.06,,,3.47,0.0
2024-01-09 12:54,-0.02,,,3.47,0.0
2024-01-09 13:00,0.003,-0.032,0.035,3.47,0.0
2024-01-09 13:06,0.03,,,3.47,0.0
2024-01-09 13:12,0.056,,,3.47,0.0
2024-01-09 13:18,0.084,,,3.47,0.0
2024-01-09 13:24,0.103,,,3.47,0.0
2024-01-09 13:30,0.121,,,3.47,0.0
2024-01-09 13:36,0.14,,,3.47,0.0
2024-01-09 13:42,0.16,,,3.47,0.0
2024-01-09 13:48,0.196,,,3.47,0.0
