id,name,geometry
367827413,South Ocean Boulevard,"{""type"": ""LineString"", ""coordinates"": [[-80.0385239, 26.6120022], [-80.038502, 26.61189], [-80.038421, 26.611565], [-80.038374, 26.611403], [-80.0382931, 26.6111427], [-80.0381967, 26.6108326], [-80.0381821, 26.6107857], [-80.038153, 26.610692], [-80.0381325, 26.610612], [-80.038085, 26.610427], [-80.038032, 26.610159], [-80.038002, 26.609957], [-80.037977, 26.609686], [-80.037967, 26.609414], [-80.0379697, 26.6092967], [-80.037974, 26.609108], [-80.037997, 26.608837], [-80.0380882, 26.6082277], [-80.0381535, 26.6077911], [-80.0382066, 26.6074362], [-80.0383238, 26.6066527], [-80.038453, 26.605789], [-80.038507, 26.605321], [-80.038547, 26.604851], [-80.0385603, 26.6045902], [-80.038568, 26.604439], [-80.0385768, 26.6040171], [-80.038579, 26.603909], [-80.0385782, 26.6038217], [-80.0385758, 26.6035735], [-80.0385703, 26.6029907], [-80.0385571, 26.6016069], [-80.0385423, 26.6002581], [-80.0385415, 26.6001828], [-80.038553, 26.599559], [-80.0385626, 26.5993103], [-80.038582, 26.59881], [-80.0386173, 26.59822], [-80.0386219, 26.5981431], [-80.0387038, 26.5966937], [-80.038751, 26.5958747], [-80.0387684, 26.5955724], [-80.0387844, 26.5952957], [-80.0387955, 26.5951025], [-80.0388274, 26.5945485], [-80.038832, 26.594468], [-80.0388387, 26.5943529], [-80.0388466, 26.5942152], [-80.0388547, 26.5940748], [-80.0388827, 26.5935902], [-80.0389027, 26.593245], [-80.0389207, 26.5929336], [-80.038922, 26.5929116], [-80.0389291, 26.592788], [-80.0389601, 26.5922519], [-80.038971, 26.5920638], [-80.0389913, 26.5917112], [-80.0389994, 26.5915722], [-80.0390096, 26.5913945], [-80.0390257, 26.5911164], [-80.0390431, 26.5908155], [-80.039052, 26.590662], [-80.039052, 26.5904664], [-80.039052, 26.590389], [-80.039037, 26.590118], [-80.0390164, 26.5899434], [-80.039005, 26.589847], [-80.038959, 26.589579], [-80.0389447, 26.5895173], [-80.038897, 26.589312], [-80.0388706, 26.5892143], [-80.038845, 26.5891195], [-80.0388159, 26.5890117], [-80.0388057, 26.5889738], [-80.0387771, 26.5888681], [-80.0387592, 26.5888016], [-80.038641, 26.588364], [-80.0386015, 26.5881791], [-80.038584, 26.588097], [-80.0385656, 26.5879784], [-80.0385509, 26.587884], [-80.038542, 26.587827], [-80.0385354, 26.587758], [-80.038516, 26.587556], [-80.038505, 26.587284], [-80.03851, 26.587012], [-80.0385126, 26.5869789], [-80.0385217, 26.5868609], [-80.0385247, 26.5868223], [-80.038531, 26.586741], [-80.0385361, 26.5867028], [-80.0385414, 26.5866642], [-80.038567, 26.586471], [-80.0385721, 26.5864441], [-80.0385785, 26.5864072], [-80.038591, 26.586337], [-80.0386, 26.586303], [-80.0386077, 26.5862667], [-80.0386138, 26.5862469], [-80.0386643, 26.5860616], [-80.0387207, 26.5858456]]}"
562328498,,"{""type"": ""LineString"", ""coordinates"": [[-80.0385547, 26.6117719], [-80.0384273, 26.6112983], [-80.0382976, 26.6109098], [-80.0382698, 26.6108212], [-80.038226, 26.6106814], [-80.0382129, 26.6106396], [-80.0381833, 26.6105098], [-80.0381086, 26.6101611], [-80.0380772, 26.6099452], [-80.0380326, 26.6095132], [-80.0380403, 26.609064], [-80.0380622, 26.6088774], [-80.0381457, 26.6083602], [-80.0382182, 26.6078433], [-80.0382765, 26.6075323], [-80.0383216, 26.6074225], [-80.0383518, 26.6071864], [-80.0383851, 26.6067774], [-80.0384525, 26.6064901], [-80.0385051, 26.6062799], [-80.0385221, 26.6060332], [-80.0385365, 26.6057751], [-80.0385304, 26.6057222], [-80.0385497, 26.605615], [-80.0385509, 26.6055069], [-80.0385915, 26.6052652], [-80.0385966, 26.6051451], [-80.0386051, 26.6049881], [-80.0386466, 26.6047283], [-80.0386373, 26.6046639], [-80.0386448, 26.6044761], [-80.0386435, 26.6041556], [-80.0386423, 26.6040802], [-80.0386727, 26.6036426], [-80.0386595, 26.6035581], [-80.0386577, 26.6034426], [-80.0386317, 26.6029963], [-80.0386428, 26.602636], [-80.038631, 26.6025081], [-80.038632, 26.6022728], [-80.0386529, 26.6021441], [-80.0386593, 26.6020583], [-80.0386468, 26.6019358], [-80.038631, 26.6017474], [-80.0386368, 26.6016448], [-80.0386135, 26.6014221], [-80.0386462, 26.601224], [-80.038654, 26.6008921], [-80.038642, 26.6008487], [-80.0386398, 26.6005278], [-80.0386563, 26.6004872], [-80.0386578, 26.6001326], [-80.0386505, 26.5998176], [-80.0386289, 26.599703], [-80.0386229, 26.5995745], [-80.0386337, 26.5994209], [-80.0386761, 26.5993177], [-80.0387007, 26.599065], [-80.0386645, 26.5987452], [-80.0386874, 26.5986071], [-80.0386831, 26.5982847], [-80.038681, 26.5982055], [-80.03869, 26.5981126], [-80.03869, 26.5980192], [-80.0387195, 26.597785], [-80.0387207, 26.5977292], [-80.0387426, 26.5973511], [-80.0387565, 26.5971184], [-80.0387839, 26.5966713], [-80.0387808, 26.5966191], [-80.0387879, 26.5965599], [-80.038814, 26.5961616], [-80.0388136, 26.5960829], [-80.0388237, 26.5959508], [-80.0388442, 26.5955354], [-80.0388663, 26.5951842], [-80.038894, 26.5947368], [-80.0389229, 26.5942194], [-80.0389409, 26.5939274], [-80.038957, 26.5937631], [-80.0389838, 26.5936719], [-80.0390035, 26.5935866], [-80.0390306, 26.5932468], [-80.0390476, 26.5928232], [-80.0390801, 26.5922585], [-80.039095, 26.5920689], [-80.0391113, 26.5917304], [-80.0391231, 26.5915722], [-80.0391557, 26.5911219], [-80.0391717, 26.5908229]]}"
11231367,South Palmway,"{""type"": ""LineString"", ""coordinates"": [[-80.0510577, 26.6098429], [-80.0510538, 26.6098101], [-80.0510881, 26.6084963], [-80.0510952, 26.6084391], [-80.0511019, 26.6083913], [-80.0511777, 26.6060754], [-80.0511743, 26.606018], [-80.0511817, 26.6059806], [-80.0512432, 26.6048529], [-80.0512382, 26.6048076], [-80.051244, 26.6047439], [-80.0512549, 26.6043611], [-80.0512562, 26.6043173], [-80.0512607, 26.6041605], [-80.0512617, 26.6041245], [-80.0512666, 26.6039509], [-80.0512766, 26.6036019], [-80.0513103, 26.602389], [-80.0513138, 26.6023591], [-80.0513291, 26.6019764], [-80.0513358, 26.6018087], [-80.0513589, 26.6012323], [-80.0513553, 26.6011913], [-80.0513916, 26.6002851], [-80.0513955, 26.6001861], [-80.0514003, 26.6000661], [-80.0514021, 26.6000206], [-80.0514036, 26.599984], [-80.051439, 26.5988121], [-80.0514374, 26.5987661], [-80.0514452, 26.5987126], [-80.0514875, 26.5976019], [-80.0514893, 26.5975559], [-80.0514909, 26.5975076], [-80.0515298, 26.5963561], [-80.051542, 26.5958673], [-80.0515497, 26.5954066], [-80.0515606, 26.5950621], [-80.0515616, 26.595032], [-80.0515631, 26.5949934], [-80.0515861, 26.5943839], [-80.051588, 26.594333]]}"
11236686,South N Street,"{""type"": ""LineString"", ""coordinates"": [[-80.053071, 26.609899], [-80.0530724, 26.6098585], [-80.0531112, 26.6087471], [-80.0531177, 26.6085597], [-80.05312, 26.608495], [-80.0531215, 26.6084521], [-80.053162, 26.607286], [-80.053202, 26.6061333], [-80.053204, 26.606076], [-80.0532056, 26.6060302], [-80.0532462, 26.6048611], [-80.053288, 26.603656], [-80.0533029, 26.6032276], [-80.05333, 26.602447], [-80.0533313, 26.602411], [-80.0533536, 26.6017688], [-80.0533709, 26.6013077], [-80.0533711, 26.601296], [-80.0533718, 26.6012465], [-80.0533733, 26.6012036], [-80.053415, 26.600036], [-80.0534565, 26.5988701], [-80.053458, 26.598827], [-80.0534599, 26.5987741], [-80.0534961, 26.5977539], [-80.0535003, 26.5976358], [-80.053501, 26.597617], [-80.053503, 26.5975615], [-80.0535062, 26.5974745], [-80.053545, 26.596407], [-80.0535508, 26.5962418], [-80.0535767, 26.5954748]]}"
11244895,South Lakeside Drive,"{""type"": ""LineString"", ""coordinates"": [[-80.0503547, 26.6098318], [-80.0503585, 26.6097794], [-80.0504059, 26.6087207], [-80.0504174, 26.6084765], [-80.0504199, 26.6084164], [-80.0504214, 26.608377], [-80.0504705, 26.6069209], [-80.0504784, 26.6066854], [-80.0504839, 26.6065233], [-80.0505002, 26.6060403], [-80.0505015, 26.6059998], [-80.0505036, 26.6059669], [-80.0505366, 26.6047924], [-80.0505728, 26.6043533], [-80.0505741, 26.6041434], [-80.0505748, 26.6040353], [-80.0505751, 26.6039871], [-80.0505758, 26.6038767], [-80.0505776, 26.6035821], [-80.0506092, 26.6028894], [-80.050654, 26.602371], [-80.050695, 26.601173], [-80.0507076, 26.6000047], [-80.050708, 26.599968], [-80.0507094, 26.5999289], [-80.0507367, 26.5991605], [-80.050751, 26.598758], [-80.050762, 26.598448], [-80.0507744, 26.5980993], [-80.0507942, 26.5975851], [-80.050794, 26.597534], [-80.0507961, 26.5974811], [-80.0508036, 26.5972839], [-80.0508163, 26.5969355], [-80.050829, 26.5965871], [-80.050838, 26.596339], [-80.050852, 26.59594], [-80.0508658, 26.5955546], [-80.050872, 26.595383], [-80.050879, 26.5950533], [-80.05088, 26.595006], [-80.0508813, 26.5949573], [-80.0508977, 26.5943551], [-80.050899, 26.594307]]}"
1077928925,Federal Highway,"{""type"": ""LineString"", ""coordinates"": [[-80.0524191, 26.5926488], [-80.0524734, 26.5929494], [-80.052482, 26.5929981], [-80.0525132, 26.5931747], [-80.0525203, 26.593215], [-80.0525539, 26.5934431], [-80.0525608, 26.5935008], [-80.0525841, 26.5936952], [-80.0525939, 26.5938001], [-80.052605, 26.5939189], [-80.0526061, 26.5939398], [-80.0526172, 26.5941518], [-80.0526243, 26.5943591], [-80.0526209, 26.5945041], [-80.0526148, 26.5947596], [-80.0526078, 26.595056], [-80.052595, 26.5954419], [-80.0525899, 26.5955942], [-80.0525848, 26.595748], [-80.0525642, 26.5963665], [-80.052542, 26.5970333], [-80.0525237, 26.5975834], [-80.0525086, 26.598019], [-80.0525056, 26.5981053], [-80.0525003, 26.5982564], [-80.0524933, 26.5984591], [-80.0524816, 26.5987965], [-80.0524577, 26.5994652], [-80.0524386, 26.6000011], [-80.0524192, 26.6005371], [-80.0524159, 26.6006284], [-80.0524079, 26.6008489], [-80.0523966, 26.6011617], [-80.0523947, 26.6012144], [-80.0523929, 26.601266], [-80.0523874, 26.6014283], [-80.0523546, 26.6023797], [-80.0523535, 26.6024207], [-80.0523513, 26.6024721], [-80.0523254, 26.6032556], [-80.0523127, 26.6036334], [-80.0522963, 26.604083], [-80.0522961, 26.604088], [-80.0522875, 26.6043217], [-80.0522873, 26.6043272], [-80.0522687, 26.6048367], [-80.0522285, 26.6060503], [-80.0522025, 26.606769], [-80.0521959, 26.6069525], [-80.0521847, 26.6072627], [-80.0521619, 26.6079182]]}"
1184665118,South Palmway,"{""type"": ""LineString"", ""coordinates"": [[-80.0514938, 26.5943294], [-80.0514923, 26.5943746], [-80.0514707, 26.5949929], [-80.0514694, 26.5950285], [-80.0514681, 26.595059], [-80.0514115, 26.5963532], [-80.0514105, 26.5964051], [-80.0513802, 26.5975521], [-80.0513401, 26.5987633], [-80.0513471, 26.5988247], [-80.0513065, 26.5999818], [-80.0512456, 26.6011883], [-80.0512043, 26.6023861], [-80.051156, 26.6035981], [-80.0511576, 26.603728], [-80.0511494, 26.6040365], [-80.0511421, 26.6043132], [-80.05113, 26.6047693], [-80.0511299, 26.6048058], [-80.0511322, 26.6048295], [-80.0510865, 26.6059787], [-80.0510927, 26.6060166], [-80.0510825, 26.6060745], [-80.0510133, 26.6083908], [-80.0510025, 26.6084358], [-80.0510024, 26.6084951], [-80.050964, 26.6098079], [-80.0509626, 26.609841]]}"
571358543,,"{""type"": ""LineString"", ""coordinates"": [[-80.0378989, 26.5978991], [-80.0379324, 26.5974547]]}"
571358545,,"{""type"": ""LineString"", ""coordinates"": [[-80.0377682, 26.5974795], [-80.0378095, 26.5974579], [-80.0379324, 26.5974547], [-80.0380524, 26.5974588], [-80.0380816, 26.5974832], [-80.0380911, 26.5975132], [-80.0380741, 26.5979214], [-80.0380614, 26.597961]]}"
768415484,,"{""type"": ""LineString"", ""coordinates"": [[-80.0378975, 26.5979674], [-80.0378989, 26.5978991], [-80.037742, 26.5978331], [-80.037752, 26.5975508], [-80.0377682, 26.5974795]]}"
