id,name,geometry,elevation_m,distance_to_coastline_m
118005727,,"{""type"": ""LineString"", ""coordinates"": [[-80.1649377, 25.7340564], [-80.16488, 25.7340334], [-80.1650906, 25.7336045], [-80.1650302, 25.7335212], [-80.1649578, 25.7330911], [-80.1650021, 25.7329232], [-80.1649888, 25.7327408], [-80.1649846, 25.732684], [-80.1650128, 25.7325656], [-80.1650665, 25.7324049], [-80.1650383, 25.7322213], [-80.1650517, 25.7321874], [-80.165087, 25.7321695], [-80.1651134, 25.7321923], [-80.1652918, 25.7323626], [-80.1654084, 25.7324423], [-80.1655305, 25.7325184], [-80.1656028, 25.7325568], [-80.1656396, 25.7325765], [-80.1657249, 25.7326018], [-80.1657959, 25.732625], [-80.1658282, 25.7326356], [-80.1660066, 25.7327238], [-80.1660736, 25.7327854], [-80.1660985, 25.7328234], [-80.1662171, 25.7328833], [-80.1663338, 25.7329377], [-80.1664599, 25.7329727], [-80.1665578, 25.7330488], [-80.1665886, 25.7330742], [-80.1666959, 25.7330887]]}",9.0,113.8346435435408
118005754,,"{""type"": ""LineString"", ""coordinates"": [[-80.1658282, 25.7326356], [-80.1657947, 25.7327057], [-80.1657397, 25.7327866], [-80.1656606, 25.7328676], [-80.1655881, 25.733021]]}",9.0,119.60560783427044
118005755,,"{""type"": ""LineString"", ""coordinates"": [[-80.1658282, 25.7326356], [-80.1658537, 25.7326936], [-80.1658523, 25.7327419], [-80.1658403, 25.7327806], [-80.1658529, 25.7328255], [-80.1658698, 25.7328797], [-80.1658912, 25.7329075], [-80.1659037, 25.7329173], [-80.1660414, 25.7330372], [-80.166113, 25.7331029]]}",9.0,114.01676415343304
480678167,,"{""type"": ""LineString"", ""coordinates"": [[-80.1636422, 25.7325885], [-80.1637642, 25.7326996], [-80.1638623, 25.7327902], [-80.1638856, 25.7328162], [-80.1639023, 25.7328482], [-80.1639142, 25.7328848], [-80.1639151, 25.7329424], [-80.163905, 25.7329865], [-80.1638869, 25.7330065], [-80.1632403, 25.7335954], [-80.1632178, 25.7336093], [-80.1631967, 25.7336146], [-80.1631783, 25.7336163], [-80.1631607, 25.7336153], [-80.1631427, 25.7336027], [-80.1628352, 25.7333344], [-80.1627805, 25.733245]]}",10.0,172.2657120491788
564650132,,"{""type"": ""LineString"", ""coordinates"": [[-80.1636442, 25.7328144], [-80.1637642, 25.7326996]]}",10.0,136.05887474543684
564650135,,"{""type"": ""LineString"", ""coordinates"": [[-80.1636422, 25.7325885], [-80.1634545, 25.7324163], [-80.1632532, 25.7321687], [-80.1631936, 25.7320757]]}",10.0,65.45937359711768
738465460,,"{""type"": ""LineString"", ""coordinates"": [[-80.1636261, 25.7334317], [-80.1636896, 25.7333727], [-80.1638102, 25.7332594], [-80.1641204, 25.7329718], [-80.1642843, 25.7328197], [-80.1649183, 25.7322501], [-80.1653683, 25.7318229]]}",10.0,173.56258513051392
776942616,,"{""type"": ""LineString"", ""coordinates"": [[-80.1642843, 25.7328197], [-80.1638323, 25.7324224], [-80.1638192, 25.7323743], [-80.1638295, 25.7323372], [-80.163993, 25.7321575], [-80.1639987, 25.7321307], [-80.1639919, 25.7321016], [-80.1639621, 25.7320773], [-80.1638444, 25.7320204], [-80.1638047, 25.7319878], [-80.1636841, 25.7318741], [-80.1636195, 25.7318118], [-80.1636, 25.7317875], [-80.1635855, 25.7317629], [-80.1635819, 25.731729], [-80.1635897, 25.7316936], [-80.1636096, 25.7316591], [-80.1636454, 25.7316303], [-80.1637068, 25.7316012], [-80.1638738, 25.7315591], [-80.1640023, 25.731549], [-80.1643028, 25.7315412], [-80.1644372, 25.7315301], [-80.1645829, 25.7314991]]}",10.0,34.14014202140327
118005722,,"{""type"": ""LineString"", ""coordinates"": [[-80.1645729, 25.731802], [-80.164526, 25.7319434], [-80.1645729, 25.7319893], [-80.1648733, 25.7322031], [-80.1649183, 25.7322501], [-80.1650665, 25.7324049]]}",9.0,95.65928001149592
118005728,,"{""type"": ""LineString"", ""coordinates"": [[-80.1654889, 25.732191], [-80.1656784, 25.7321815]]}",9.0,74.77951582214577
118005742,,"{""type"": ""LineString"", ""coordinates"": [[-80.1654889, 25.732191], [-80.1653843, 25.7321923]]}",9.0,89.34345148424259
118005746,,"{""type"": ""LineString"", ""coordinates"": [[-80.1659633, 25.7323648], [-80.165825, 25.7322396]]}",9.0,71.26681321755359
118005749,,"{""type"": ""LineString"", ""coordinates"": [[-80.1656611, 25.7324204], [-80.1656244, 25.7325062]]}",9.0,107.05688937334132
118005752,,"{""type"": ""LineString"", ""coordinates"": [[-80.1653843, 25.7321923], [-80.1651134, 25.7321923]]}",9.0,96.19745882846777
118005759,,"{""type"": ""LineString"", ""coordinates"": [[-80.1659248, 25.7319796], [-80.1659797, 25.7319059]]}",9.0,32.357126369828855
118005765,,"{""type"": ""LineString"", ""coordinates"": [[-80.1659633, 25.7323648], [-80.1660325, 25.7324274]]}",9.0,71.99802192099399
118005767,,"{""type"": ""LineString"", ""coordinates"": [[-80.1657313, 25.7322562], [-80.1656611, 25.7324204]]}",9.0,97.24045329227948
118005768,,"{""type"": ""LineString"", ""coordinates"": [[-80.1648814, 25.7315411], [-80.1646346, 25.731558], [-80.1646091, 25.7315749], [-80.1645729, 25.731802], [-80.164585, 25.7318322], [-80.1648505, 25.7319216]]}",10.0,48.31540339798748
522192868,,"{""type"": ""LineString"", ""coordinates"": [[-80.165804, 25.7321324], [-80.1659248, 25.7319796]]}",9.0,42.217196571291595
522192869,,"{""type"": ""LineString"", ""coordinates"": [[-80.1656028, 25.7325568], [-80.1656244, 25.7325062]]}",9.0,107.05688937334132
1055733594,,"{""type"": ""LineString"", ""coordinates"": [[-80.1660325, 25.7324274], [-80.1660431, 25.7324359], [-80.1659842, 25.7324793], [-80.1659078, 25.7325175], [-80.1658239, 25.732554], [-80.1657088, 25.7325438], [-80.1656028, 25.7325568]]}",9.0,88.02474780313942
1055733595,,"{""type"": ""LineString"", ""coordinates"": [[-80.1658239, 25.732554], [-80.1657959, 25.732625]]}",9.0,104.31223362712902
423481112,Rickenbacker Causeway,"{""type"": ""LineString"", ""coordinates"": [[-80.1744569, 25.7446028], [-80.175258, 25.7453097], [-80.175365, 25.7454028], [-80.1754805, 25.7455003], [-80.1755981, 25.7455954], [-80.1757232, 25.7456912], [-80.1758505, 25.7457809], [-80.1760048, 25.745881], [-80.1761396, 25.7459622], [-80.176292, 25.7460456], [-80.1764437, 25.7461205], [-80.1765823, 25.7461831], [-80.1767173, 25.746239], [-80.1768821, 25.7463034], [-80.1770286, 25.7463573], [-80.1771703, 25.7464006], [-80.1773231, 25.7464401], [-80.1774857, 25.7464782], [-80.1776457, 25.7465093], [-80.1778006, 25.7465331], [-80.1779569, 25.7465534], [-80.1780912, 25.7465679], [-80.1782303, 25.7465769], [-80.178366, 25.7465812], [-80.1785175, 25.7465826], [-80.1789398, 25.7465785]]}",8.0,38.931810175158816
11106958,,"{""type"": ""LineString"", ""coordinates"": [[-80.1654762, 25.7363134], [-80.1655829, 25.736226]]}",8.0,80.05674396834331
11112919,,"{""type"": ""LineString"", ""coordinates"": [[-80.1641949, 25.7351638], [-80.1642942, 25.7350796], [-80.1648675, 25.7345614]]}",8.0,146.61951561570578
85470193,Rickenbacker Causeway,"{""type"": ""LineString"", ""coordinates"": [[-80.1670386, 25.7377176], [-80.1668102, 25.7375178], [-80.1659717, 25.7367607]]}",7.0,83.30903073789113
117933923,,"{""type"": ""LineString"", ""coordinates"": [[-80.1680423, 25.7382012], [-80.1680191, 25.7381291], [-80.16798, 25.738071], [-80.1679243, 25.7379861], [-80.1678856, 25.7379267], [-80.1678508, 25.7378759], [-80.167818, 25.7378276], [-80.1677854, 25.7377844], [-80.1677302, 25.7377233], [-80.1676715, 25.7376653], [-80.1675805, 25.737576], [-80.1675418, 25.7375317], [-80.1674947, 25.737471], [-80.1673581, 25.7374434]]}",7.0,26.30541569737064
117933926,,"{""type"": ""LineString"", ""coordinates"": [[-80.1647639, 25.734469], [-80.164231, 25.7349564], [-80.1641939, 25.7349903], [-80.1640961, 25.7350766]]}",8.0,155.47637730095087
117933933,,"{""type"": ""LineString"", ""coordinates"": [[-80.1673581, 25.7374434], [-80.1671829, 25.7375938], [-80.1671262, 25.7376424], [-80.1670386, 25.7377176]]}",7.0,71.72612771129522
117933936,,"{""type"": ""LineString"", ""coordinates"": [[-80.1673581, 25.7374434], [-80.1674475, 25.7375172], [-80.1674874, 25.7375623], [-80.1675229, 25.7376071]]}",7.0,39.084941516765156
117933937,,"{""type"": ""LineString"", ""coordinates"": [[-80.1661534, 25.7357081], [-80.1662085, 25.7359238], [-80.1662695, 25.7361224], [-80.1663384, 25.7363057], [-80.1663921, 25.7363939], [-80.1664351, 25.7364393]]}",8.0,22.570703252571818
117933953,,"{""type"": ""LineString"", ""coordinates"": [[-80.1673581, 25.7374434], [-80.1672847, 25.7373704], [-80.1672233, 25.7373086]]}",0.0,39.496692632369424
117933965,,"{""type"": ""LineString"", ""coordinates"": [[-80.1672233, 25.7373086], [-80.1671761, 25.7371292], [-80.166639, 25.7366043], [-80.1665853, 25.7365831], [-80.1665349, 25.7365878], [-80.1664799, 25.736635], [-80.1664667, 25.7366852], [-80.1664848, 25.7367347], [-80.1670145, 25.737259], [-80.1672233, 25.7373086]]}",8.0,31.75704133724491
117934653,,"{""type"": ""LineString"", ""coordinates"": [[-80.1659019, 25.7364476], [-80.1662695, 25.7361224]]}",8.0,16.6437906125632
117934654,,"{""type"": ""LineString"", ""coordinates"": [[-80.1663384, 25.7363057], [-80.1660424, 25.7365787]]}",8.0,64.27186223521416
117934655,,"{""type"": ""LineString"", ""coordinates"": [[-80.1662085, 25.7359238], [-80.165772, 25.7363282], [-80.1659019, 25.7364476], [-80.1660424, 25.7365787], [-80.1661696, 25.7366894]]}",8.0,67.55580515514717
117934656,,"{""type"": ""LineString"", ""coordinates"": [[-80.1661696, 25.7366894], [-80.1664351, 25.7364393]]}",8.0,23.057269358536175
117934822,,"{""type"": ""LineString"", ""coordinates"": [[-80.165491, 25.7360715], [-80.1653591, 25.735953], [-80.1652278, 25.7358357], [-80.165102, 25.7357262], [-80.1649721, 25.7356106], [-80.1648435, 25.735494], [-80.1647122, 25.7353773], [-80.1645796, 25.7352605], [-80.1644402, 25.7351365]]}",8.0,105.27278148179794
117934823,,"{""type"": ""LineString"", ""coordinates"": [[-80.1655008, 25.7351109], [-80.1649721, 25.7356106]]}",8.0,105.27278148179794
117934824,,"{""type"": ""LineString"", ""coordinates"": [[-80.165102, 25.7357262], [-80.1656381, 25.7352336]]}",9.0,27.66685913007623
117934825,,"{""type"": ""LineString"", ""coordinates"": [[-80.1645796, 25.7352605], [-80.1651108, 25.7347748]]}",9.0,63.19373933692555
117934827,,"{""type"": ""LineString"", ""coordinates"": [[-80.1653591, 25.735953], [-80.1658953, 25.7354681]]}",8.0,34.53360567984975
117934828,,"{""type"": ""LineString"", ""coordinates"": [[-80.1657627, 25.7353448], [-80.1652278, 25.7358357]]}",8.0,100.42284143046939
