id,name,elevation_m,distance_to_coastline_m,flood_onset_threshold_m,cii_max,inundation_depth_cm
79793774,,0.0,51.72922789295868,0.5700000000000003,0.174904636407484,19.299999999999972
5958472,I Avenue,7.0,768.0655657735676,7.57,0.0,0.0
5969960,H Avenue,6.0,1103.0343439567798,6.57,0.0,0.0
6001032,D Avenue,10.0,968.3920733388478,10.57,0.0,0.0
6015431,J Avenue,5.0,937.321601957223,5.57,0.0,0.0
330869735,,6.0,572.731718251016,6.57,0.0,0.0
330869736,,6.0,1097.036797646359,6.57,0.0,0.0
365552670,,6.0,1100.0608041136106,6.57,0.0,0.0
593995295,Palm Avenue,8.0,702.1617862505778,8.57,0.0,0.0
5939298,,5.0,698.4618992767904,5.57,0.0,0.0
5946549,,6.0,45.5388793745167,6.57,0.0,0.0
5962535,Quentin Roosevelt Boulevard,11.0,276.07401632681143,11.57,0.0,0.0
5968213,Stockdale Boulevard,7.0,384.3233874190867,7.57,0.0,0.0
578140538,,7.0,412.0238191332157,7.57,0.0,0.0
578189505,,10.0,161.74102942101504,10.57,0.0,0.0
578189506,,10.0,119.37429744708555,10.57,0.0,0.0
578189510,,10.0,321.2449783142636,10.57,0.0,0.0
640393888,Wright Avenue,10.0,266.93963708441373,10.57,0.0,0.0
908623143,,10.0,219.1044884109543,10.57,0.0,0.0
5963557,3rd Street,10.0,223.64792322190576,10.57,0.0,0.0
5973671,Gowan Street,10.0,461.0116285241437,10.57,0.0,0.0
278404398,Quentin Roosevelt Boulevard,10.0,417.0181614743386,10.57,0.0,0.0
578140537,,7.0,479.3267396540469,7.57,0.0,0.0
578140539,,7.0,449.319845416642,7.57,0.0,0.0
578184936,,10.0,336.175185424277,10.57,0.0,0.0
578189507,,10.0,189.24352898716023,10.57,0.0,0.0
578189508,,10.0,206.62592689357209,10.57,0.0,0.0
578189509,,10.0,302.2053914008588,10.57,0.0,0.0
578189511,,10.0,177.86899752861362,10.57,0.0,0.0
578189512,,10.0,221.81042456387587,10.57,0.0,0.0
578189513,,4.0,195.34008906892137,4.57,0.0,0.0
578189514,,10.0,265.9966654968586,10.57,0.0,0.0
